L.p.,Identyfikator,Nr działki,Jednostka ewidencyjna,Obręb,Powierzchnia ewidencyjna,Klasoużytki,Adres,Granica sporna?,Teren zamknięty?,Rejestr zabytków,Zmodyfikował(a)
38,220502_4.0001.68/7,68/7,Kartuzy - M,1,0.0238,Bp-RIVb 0.0238,ul. Gdyńskich Kosynierów 13,Nie,Nie,,DANE OSOBOWE
39,220502_4.0001.189,189,Kartuzy - M,1,2.7257,RIVb 0.4773; RV 1.3456; ŁV 0.4193; dr 0.4074; Tr 0.0761,ul. Prokowska,Nie,Nie,,DANE OSOBOWE
40,220502_4.0001.68/18,68/18,Kartuzy - M,1,0.0081,Bp 0.0081,ul. Gdyńskich Kosynierów,Nie,Nie,,DANE OSOBOWE
41,220502_4.0001.68/17,68/17,Kartuzy - M,1,0.0095,Bp 0.0095,ul. Gdyńskich Kosynierów,Nie,Nie,,DANE OSOBOWE
42,220502_4.0001.68/19,68/19,Kartuzy - M,1,0.0121,Bp 0.0121,ul. Prokowska 7,Nie,Nie,,DANE OSOBOWE
43,220502_4.0001.15/7,15/7,Kartuzy - M,1,0.0715,Bp-PsIV 0.0715,ul. Wzgórze Wolności,Nie,Nie,,DANE OSOBOWE
44,220502_4.0001.66/4,66/4,Kartuzy - M,1,0.0332,Bp-RIVb 0.0332,ul. Gdyńskich Kosynierów 6,Nie,Nie,,DANE OSOBOWE
45,220502_4.0001.110/2,110/2,Kartuzy - M,1,1.19,Ls 1.19,ul. Wzgórze Wolności,Nie,Nie,346 (1971-02-20),DANE OSOBOWE
46,220502_4.0001.14/22,14/22,Kartuzy - M,1,0.0176,dr 0.0176,,Nie,Nie,,DANE OSOBOWE
47,220502_4.0001.12/96,12/96,Kartuzy - M,1,0.0191,RIVb 0.0191,,Nie,Nie,,DANE OSOBOWE
48,220502_4.0001.12/87,12/87,Kartuzy - M,1,0.0168,Bp-RIVb 0.0168,,Nie,Nie,,DANE OSOBOWE
49,220502_4.0001.7/42,7/42,Kartuzy - M,1,0.0069,dr 0.0069,,Nie,Nie,,DANE OSOBOWE
50,220502_4.0001.70/6,70/6,Kartuzy - M,1,0.0757,Bp-RIVb 0.0757,ul. Prokowska,Nie,Nie,,DANE OSOBOWE
